"triage_order","base_name","decision","notes"
"1","LabelMulti_S_143","uncorrectable",""
"2","LabelMulti_S_60","uncorrectable",""
"3","LabelMulti_S_38","uncorrectable",""
"4","LabelMulti_S_137","uncorrectable",""
"5","LabelMulti_S_174","","no sure if anatomical varian , seems complete"
"6","LabelMulti_S_100","uncorrectable","bad quality and cropped "
"7","LabelMulti_S_141","","image has a middle ""white line"" hard to deterrmine the middle vertebra, pretty much guessing"
"8","LabelMulti_S_193","","bad qualuity in middle vertebras"
"9","LabelMulti_S_127","uncorrectable",""
"10","LabelMulti_S_126","uncorrectable","cropped at top"
"11","LabelMulti_S_134","anatomical_variant","posible fusion de vertebras,"
"12","LabelMulti_N_39","","cropeed at top, es mas facil contar de abajo hacia arriba,  y que si este l1 a l5 . dificil de juzgar por mi falta de experticia"
"13","LabelMulti_N_71","needs_fix","falta la t9"
"14","LabelMulti_S_32","","puede ser anatomical varian, la imagen se ve completa ,pero dificil de juzgar"
"15","LabelMulti_S_183","",""
"16","LabelMulti_S_195","","posible anatomical variant"
"17","LabelMulti_S_190","","posible anatomical variant, la imagen esta completa pero dificil de juzgar"
"18","LabelMulti_S_92","uncorrectable","cropped at top"
"19","LabelMulti_S_70","anatomical_variant","si l2 esta missing, y l1 l3 l4 l5 estan es una possible anatomical variant"
"20","LabelMulti_S_178","anatomical_variant","possible anatomical variant"
"21","LabelMulti_S_130","anatomical_variant","possible anatomical variant"
"22","LabelMulti_S_96","uncorrectable","cropped at top"
"23","LabelMulti_S_118","anatomical_variant","possible anatomical variant"
"24","LabelMulti_S_197","anatomical_variant","possible anatomical variant"
"25","LabelMulti_S_88","anatomical_variant","possible anatomical variant"
"26","LabelMulti_S_188","anatomical_variant","possible anatomical variant"
"27","LabelMulti_S_135","anatomical_variant","possible anatomical variant"
"28","LabelMulti_S_199","uncorrectable","cropped TOP"
"29","LabelMulti_S_114","anatomical_variant","possible anatomical variant"
"30","LabelMulti_S_49","anatomical_variant","possible anatomical variant"
"31","LabelMulti_S_125","","possible anatomical variant , qualityt of image is strange seems folded or something"
"32","LabelMulti_S_206","anatomical_variant","possible anatomical variant"
"33","LabelMulti_S_128","uncorrectable","croped top "
"34","LabelMulti_S_120","anatomical_variant","possible anatomical variant"
"35","LabelMulti_S_196","anatomical_variant","possible anatomical variant"
"36","LabelMulti_S_121","anatomical_variant","possible anatomical variant"
"37","LabelMulti_S_184","anatomical_variant","possible anatomical variant"
"38","LabelMulti_S_147","anatomical_variant","possible anatomical variant"
"39","LabelMulti_S_155","anatomical_variant","possible anatomical variant"
"40","LabelMulti_S_150","","cropped at top, posible que la t1 no sea la t1 , es raro que falte la t6,"
"41","LabelMulti_S_151","anatomical_variant","possible anatomical variant"
"42","LabelMulti_S_170","anatomical_variant","possible anatomical variant"
"43","LabelMulti_S_167","anatomical_variant","possible anatomical variant"
"44","LabelMulti_S_73","anatomical_variant","possible anatomical variant"
"45","LabelMulti_S_132","anatomical_variant","possible anatomical variant"
"46","LabelMulti_S_66","anatomical_variant","possible anatomical variant miss l2"
"47","LabelMulti_S_161","anatomical_variant","possible anatomical variant"
"48","LabelMulti_S_171","anatomical_variant","possible anatomical variant"
"49","LabelMulti_S_163","anatomical_variant","possible anatomical variant"
"50","LabelMulti_S_131","anatomical_variant","possible anatomical variant"
"51","LabelMulti_S_144","anatomical_variant","possible anatomical variant"
"52","LabelMulti_S_200","anatomical_variant","possible anatomical variant"
"53","LabelMulti_S_105","anatomical_variant","possible anatomical variant"
"54","LabelMulti_S_136","anatomical_variant","possible anatomical variant"
"55","LabelMulti_S_133","anatomical_variant","possible anatomical variant"
"56","LabelMulti_S_41","anatomical_variant","possible anatomical variant"
"57","LabelMulti_S_149","uncorrectable","copreed top"
"58","LabelMulti_S_194","needs_fix","creo que esta mal labelado dedse la t1"
"59","LabelMulti_N_14","anatomical_variant","falta la t8 raro  possible anatomical variant"
"60","LabelMulti_N_23","needs_fix","en mi opinion la l5 es visible"
"61","LabelMulti_N_26","anatomical_variant","falta la t5 rarro possible anatomical variant"
"62","LabelMulti_N_28","needs_fix","falta la t7 raro ,puede que se empezo a contar mal desde la t1 , la imagen es clara"
"63","LabelMulti_N_30","anatomical_variant","possible anatomical variant"
"64","LabelMulti_N_31","anatomical_variant","possible anatomical variant"
"65","LabelMulti_N_36","needs_fix","yo cuento 17 labels. todo OK"
"66","LabelMulti_N_38","anatomical_variant","falta l4 pero si esta L5 ? possible anatomical variant"
"67","LabelMulti_N_43","anatomical_variant","possible anatomical variant, porque se decidio saltar la t8? t9 y t10 estan caso raro"
"68","LabelMulti_N_52","needs_fix","esta visible y facil de arreglar"
"69","LabelMulti_N_59","needs_fix","es visible arreglar label"
