"triage_order","base_name","decision","notes"
"5","LabelMulti_S_174","anatomical_variant","possible anatomical variant"
"7","LabelMulti_S_141","","iamge is folded or something ... skip"
"8","LabelMulti_S_193","anatomical_variant","possible anatomical variant"
"12","LabelMulti_N_39","uncorrectable","tiene un crop muy alto en el top, posiblemente esta mal contado y posicion de los labels"
"14","LabelMulti_S_32","anatomical_variant","possible anatomical variant"
"15","LabelMulti_S_183","anatomical_variant","possible anatomical variant"
"16","LabelMulti_S_195","anatomical_variant","possible anatomical variant"
"17","LabelMulti_S_190","anatomical_variant","possible anatomical variant"
"31","LabelMulti_S_125","","imagen aparece rara, como con doblezes o maltrratada fisicamente"
"40","LabelMulti_S_150","uncorrectable","tiene un crop. puede que desde la t1 esta mal labeleada y sea mas bien que falte la l5"
